"timestamp","manufacturer_name","racket_name","swing_type","impact_position","ball_speed[km/h]","ball_spin","swing_speed[km/h]","tag_id","video_filename"
"2016-11-05 12:45:01","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","12","43","-3","44","",""
"2016-11-05 12:45:03","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","13","52","-2","42","",""
"2016-11-05 12:45:05","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","13","39","-3","40","",""
"2016-11-05 12:45:11","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","18","40","-3","42","",""
"2016-11-05 12:45:13","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","6","66","-2","60","",""
"2016-11-05 12:45:15","Wilson","BLADE 98 18x20","BACKHAND_SLICE","13","53","-6","62","",""
"2016-11-05 12:45:18","Wilson","BLADE 98 18x20","FOREHAND_SLICE","13","66","-5","60","",""
"2016-11-05 12:45:21","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","13","46","-2","45","",""
"2016-11-05 12:45:23","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","11","48","-2","53","",""
"2016-11-05 12:45:26","Wilson","BLADE 98 18x20","BACKHAND_VOLLEY","13","74","-3","49","",""
"2016-11-05 12:45:29","Wilson","BLADE 98 18x20","FOREHAND_SLICE","19","68","-5","56","",""
"2016-11-05 12:45:31","Wilson","BLADE 98 18x20","BACKHAND_SLICE","10","46","-7","60","",""
"2016-11-05 12:45:36","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","12","36","-3","37","",""
"2016-11-05 12:45:39","Wilson","BLADE 98 18x20","BACKHAND_VOLLEY","13","49","-3","51","",""
"2016-11-05 12:45:41","Wilson","BLADE 98 18x20","BACKHAND_VOLLEY","12","49","-3","54","",""
"2016-11-05 12:45:43","Wilson","BLADE 98 18x20","BACKHAND_VOLLEY","12","44","-3","43","",""
"2016-11-05 12:45:46","Wilson","BLADE 98 18x20","BACKHAND_VOLLEY","11","49","-2","45","",""
"2016-11-05 12:45:48","Wilson","BLADE 98 18x20","BACKHAND_VOLLEY","13","56","-3","41","",""
"2016-11-05 12:45:50","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","12","41","-2","46","",""
"2016-11-05 12:45:53","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","13","73","-2","60","",""
"2016-11-05 12:46:16","Wilson","BLADE 98 18x20","FOREHAND_SLICE","13","73","-3","61","",""
"2016-11-05 12:46:21","Wilson","BLADE 98 18x20","SMASH","18","111","4","97","",""
"2016-11-05 12:46:23","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","18","52","-2","45","",""
"2016-11-05 12:46:27","Wilson","BLADE 98 18x20","SERVE","12","61","2","65","",""
